Material,Total,Destroyed,Destruction_Rate,Simulated_Flammability,Difference
 ,4093,0,0.0,0.5,-0.5
Asphalt,15981,15435,0.9658344283837057,0.8,0.16583442838370566
Concrete,69,65,0.9420289855072463,0.3,0.6420289855072463
Metal,2953,2803,0.9492041991195395,0.2,0.7492041991195395
Other,96,89,0.9270833333333334,0.6,0.3270833333333334
Tile,221,207,0.9366515837104072,0.4,0.5366515837104072
Unknown,102,99,0.9705882352941176,0.5,0.47058823529411764
Wood,109,106,0.9724770642201835,0.95,0.022477064220183585
