Case_ID,Timestamp,Event,Flammability_Score
28774,2025-11-08 08:04:59.615749644,Fire_Arrival,0.46
43276,2025-11-08 08:05:04.470916806,Fire_Arrival,0.54
46522,2025-11-08 08:05:04.867297638,Fire_Arrival,0.66
53599,2025-11-08 08:05:07.464530328,Fire_Arrival,0.5
44105,2025-11-08 08:05:17.192583378,Fire_Arrival,0.46
43884,2025-11-08 08:05:21.394725480,Fire_Arrival,0.19
53115,2025-11-08 08:05:21.929340978,Fire_Arrival,0.5
46523,2025-11-08 08:05:22.693983738,Fire_Arrival,0.66
44774,2025-11-08 08:05:24.808085760,Fire_Arrival,0.46
53410,2025-11-08 08:05:26.123197518,Fire_Arrival,0.5
44692,2025-11-08 08:05:31.334323554,Fire_Arrival,0.34
46377,2025-11-08 08:05:32.170395300,Fire_Arrival,0.46
43953,2025-11-08 08:05:36.624002598,Fire_Arrival,0.61
53102,2025-11-08 08:05:38.285827494,Fire_Arrival,0.5
46376,2025-11-08 08:05:38.480457612,Fire_Arrival,0.46
44693,2025-11-08 08:05:38.524618614,Fire_Arrival,0.46
45055,2025-11-08 08:05:41.446511112,Fire_Arrival,0.46
44568,2025-11-08 08:05:47.423058156,Fire_Arrival,0.36
46507,2025-11-08 08:05:49.854189918,Fire_Arrival,0.66
53116,2025-11-08 08:05:50.411188854,Fire_Arrival,0.5
43968,2025-11-08 08:05:50.527875972,Fire_Arrival,0.34
28786,2025-11-08 08:05:51.098323260,Fire_Arrival,0.46
53257,2025-11-08 08:05:51.369655476,Fire_Arrival,0.5
43264,2025-11-08 08:05:51.981836526,Fire_Arrival,0.46
43265,2025-11-08 08:05:55.267129596,Fire_Arrival,0.46
53105,2025-11-08 08:05:58.613983446,Fire_Arrival,0.5
44777,2025-11-08 08:06:02.243810346,Fire_Arrival,0.51
43275,2025-11-08 08:06:06.185649000,Fire_Arrival,0.34
28773,2025-11-08 08:06:07.456008738,Fire_Arrival,0.31
44102,2025-11-08 08:06:08.509971354,Fire_Arrival,0.49
45318,2025-11-08 08:06:09.849187248,Fire_Arrival,0.56
32135,2025-11-08 08:06:16.485104567,Ignition,0.34
30038,2025-11-08 08:06:19.912394106,Fire_Arrival,0.31
44570,2025-11-08 08:06:21.670579698,Fire_Arrival,0.39
45320,2025-11-08 08:06:22.229954748,Fire_Arrival,0.46
45054,2025-11-08 08:06:29.672885694,Fire_Arrival,0.46
46537,2025-11-08 08:06:32.852961006,Fire_Arrival,0.54
46540,2025-11-08 08:06:34.507402824,Fire_Arrival,0.34
43887,2025-11-08 08:06:34.660236330,Fire_Arrival,0.54
28778,2025-11-08 08:06:38.358751920,Fire_Arrival,0.46
46378,2025-11-08 08:06:40.418254140,Fire_Arrival,0.46
46538,2025-11-08 08:06:42.823693926,Fire_Arrival,0.34
43262,2025-11-08 08:06:43.006660362,Fire_Arrival,0.46
53103,2025-11-08 08:06:43.672592010,Fire_Arrival,0.5
28775,2025-11-08 08:06:44.531052330,Fire_Arrival,0.46
44101,2025-11-08 08:06:44.581476192,Fire_Arrival,0.66
43263,2025-11-08 08:06:45.265477302,Fire_Arrival,0.49
44110,2025-11-08 08:06:48.272446464,Fire_Arrival,0.19
45319,2025-11-08 08:06:48.829428348,Fire_Arrival,0.66
43951,2025-11-08 08:06:50.582701524,Ignition,0.46
43547,2025-11-08 08:06:51.724381146,Fire_Arrival,0.46
44571,2025-11-08 08:06:51.793835052,Fire_Arrival,0.54
43888,2025-11-08 08:07:00.253110750,Fire_Arrival,0.54
43881,2025-11-08 08:07:01.052890164,Fire_Arrival,0.54
34241,2025-11-08 08:07:01.474119876,Ignition,0.69
43546,2025-11-08 08:07:02.232503088,Fire_Arrival,0.36
44569,2025-11-08 08:07:05.614586688,Fire_Arrival,0.34
46379,2025-11-08 08:07:05.982662514,Fire_Arrival,0.46
30033,2025-11-08 08:07:08.535506352,Fire_Arrival,0.36
44572,2025-11-08 08:07:10.763154390,Fire_Arrival,0.46
53106,2025-11-08 08:07:11.890743072,Fire_Arrival,0.5
44100,2025-11-08 08:07:16.507292676,Fire_Arrival,0.66
53409,2025-11-08 08:07:18.408661122,Fire_Arrival,0.5
45353,2025-11-08 08:07:19.284381480,Fire_Arrival,0.34
30039,2025-11-08 08:07:22.302193860,Fire_Arrival,0.49
46539,2025-11-08 08:07:22.644818478,Fire_Arrival,0.34
28771,2025-11-08 08:07:28.075215360,Fire_Arrival,0.56
44573,2025-11-08 08:07:28.094384832,Fire_Arrival,0.31
46506,2025-11-08 08:07:29.259004836,Fire_Arrival,0.66
44575,2025-11-08 08:07:30.548867412,Fire_Arrival,0.34
53259,2025-11-08 08:07:31.440535890,Fire_Arrival,0.5
43972,2025-11-08 08:07:33.183172644,Fire_Arrival,0.74
28776,2025-11-08 08:07:33.521114502,Fire_Arrival,0.46
44576,2025-11-08 08:07:33.773892018,Fire_Arrival,0.46
45053,2025-11-08 08:07:34.332419352,Fire_Arrival,0.46
46541,2025-11-08 08:07:36.727005390,Fire_Arrival,0.34
45352,2025-11-08 08:07:39.894691872,Fire_Arrival,0.34
53277,2025-11-08 08:07:40.806383460,Fire_Arrival,0.5
44688,2025-11-08 08:07:40.843677024,Fire_Arrival,0.19
43542,2025-11-08 08:07:41.880318744,Fire_Arrival,0.46
43545,2025-11-08 08:07:46.712779062,Fire_Arrival,0.46
43973,2025-11-08 08:07:48.158590128,Fire_Arrival,0.19
43541,2025-11-08 08:07:53.219724420,Fire_Arrival,0.59
43950,2025-11-08 08:07:55.985815098,Ignition,0.49
30037,2025-11-08 08:07:56.153785722,Fire_Arrival,0.31
