Material,Total,Destroyed,Destruction_Rate,Simulated_Flammability,Difference
 ,4093,0,0.0,0.5,-0.5
Composite,69,62,0.8985507246376812,0.5,0.39855072463768115
Masonry/Concrete,8145,7787,0.9560466543891958,0.2,0.7560466543891957
No Deck/Porch,8201,7920,0.9657358858675771,0.1,0.8657358858675771
Unknown,145,137,0.9448275862068966,0.5,0.44482758620689655
Wood,2971,2898,0.9754291484348704,0.9,0.07542914843487036
