Material,Total,Destroyed,Destruction_Rate,Simulated_Flammability,Difference
 ,4093,0,0.0,0.5,-0.5
Combustible,12326,12048,0.9774460490021094,0.85,0.12744604900210943
Ignition Resistant,7161,6714,0.9375785504817763,0.35,0.5875785504817763
Unknown,44,42,0.9545454545454546,0.5,0.4545454545454546
